code	regtype	category	numcases	phenotype
HC100	logistic	HC	118.0	gastroenteritis/dysentry
HC101	logistic	HC	536.0	eye_trauma
HC102	logistic	HC	712.0	vertigo
HC103	logistic	HC	346.0	thyroid_goitre
HC104	logistic	HC	948.0	osteomyelitis
HC105	logistic	HC	391.0	shingles
HC106	logistic	HC	5601.0	emphysema/chronic_bronchitis
HC107	logistic	HC	978.0	miscarriage
HC108	logistic	HC	14.0	giardia_/_giardiasis
HC109	logistic	HC	1418.0	gestational_hypertension/pre-eclampsia
HC11	logistic	HC	246.0	septicaemia_/_sepsis
HC110	logistic	HC	5783.0	stroke
HC111	logistic	HC	92.0	meningioma_/_benign_meningeal_tumour
HC112	logistic	HC	105.0	pyelonephritis
HC113	logistic	HC	689.0	irregular_heart_beat
HC114	logistic	HC	531.0	pericardial_effusion
HC115	logistic	HC	202.0	contact_dermatitis
HC116	logistic	HC	1369.0	tinnitus_/_tiniitis
HC117	logistic	HC	557.0	abdominal_hernia
HC118	logistic	HC	8691.0	constipation
HC119	logistic	HC	2984.0	disc_degeneration
HC12	logistic	HC	492.0	testicular_problems_(not_cancer)
HC120	logistic	HC	29.0	typhoid_fever
HC121	logistic	HC	2585.0	peritonitis
HC122	logistic	HC	390.0	disorder_or_pituitary_gland
HC123	logistic	HC	2836.0	muscle/soft_tissue_problem
HC124	logistic	HC	199.0	undescended_testicle
HC125	logistic	HC	15944.0	anaemia
HC126	logistic	HC	308.0	polycystic_kidney
HC127	logistic	HC	94.0	hydatiform_mole
HC128	logistic	HC	192.0	peripheral_nerve_disorder
HC129	logistic	HC	2822.0	muscle_or_soft_tissue_injuries
HC13	logistic	HC	139.0	lichen_sclerosis
HC130	logistic	HC	194.0	housemaid's_knee_(prepatellar_bursitis)
HC131	logistic	HC	2653.0	svt_/_supraventricular_tachycardia
HC132	logistic	HC	18473.0	angina
HC133	logistic	HC	2721.0	anal_fissure
HC134	logistic	HC	1459.0	bone_disorder
HC135	logistic	HC	4986.0	anxiety/panic_attacks
HC136	logistic	HC	2515.0	connective_tissue_disorder
HC137	logistic	HC	66.0	anal_problem
HC138	logistic	HC	42.0	polyartertis_nodosa
HC139	logistic	HC	1398.0	breast_cysts
HC14	logistic	HC	294.0	fracture_vertebra_/_crush_fracture_/_vertebral_collapse
HC140	logistic	HC	1767.0	urinary_frequency_/_incontinence
HC141	logistic	HC	22.0	antiphospholipid_syndrome
HC142	logistic	HC	4303.0	synovitis
HC143	logistic	HC	601.0	retinal_problem
HC144	logistic	HC	2458.0	chickenpox
HC145	logistic	HC	77.0	thyroid_radioablation_therapy
HC146	logistic	HC	4391.0	pleural_effusion
HC147	logistic	HC	58.0	diphtheria
HC148	logistic	HC	56.0	wolff_parkinson_white_/_wpw_syndrome
HC149	logistic	HC	1011.0	rheumatic_fever
HC15	logistic	HC	5152.0	sciatica
HC150	logistic	HC	880.0	rosacea
HC151	logistic	HC	1467.0	multiple_sclerosis
HC152	logistic	HC	161.0	deliberate_self-harm/suicide_attempt
HC153	logistic	HC	7726.0	joint_pain
HC154	logistic	HC	254.0	pelvic_inflammatory_disease/_pid
HC155	logistic	HC	1861.0	joint_disorder
HC156	logistic	HC	4608.0	nasal_polyps
HC157	logistic	HC	338.0	jaundice_(unknown_cause)
HC158	logistic	HC	3031.0	spine_arthritis/spondylitis
HC159	logistic	HC	20.0	opioid_dependency
HC16	logistic	HC	1057.0	rectal_or_colon_adenoma/polyps
HC160	logistic	HC	109.0	fibrocystic_disease
HC161	logistic	HC	984.0	prostatitis
HC162	logistic	HC	316.0	brain_abscess/intracranial_abscess
HC163	logistic	HC	187.0	scleroderma/systemic_sclerosis
HC164	logistic	HC	30231.0	gastro-oesophageal_reflux_(gord)_/_gastric_reflux
HC165	logistic	HC	2389.0	type_2_diabetes
HC166	logistic	HC	6929.0	deep_venous_thrombosis_(dvt)
HC167	logistic	HC	410.0	raynaud's_phenomenon/disease
HC168	logistic	HC	136.0	cervical_polyps
HC169	logistic	HC	1048.0	pernicious_anaemia
HC17	logistic	HC	728.0	diabetic_eye_disease
HC170	logistic	HC	841.0	sarcoidosis
HC171	logistic	HC	778.0	alcoholic_liver_disease_/_alcoholic_cirrhosis
HC172	logistic	HC	562.0	gynaecological_disorder_(not_cancer)
HC173	logistic	HC	373.0	fracture_shaft_of_femur
HC174	logistic	HC	72.0	haemochromatosis
HC175	logistic	HC	15.0	ischaemic_stroke
HC176	logistic	HC	5942.0	prolapsed_disc/slipped_disc
HC177	logistic	HC	326.0	dupuytren's_contracture
HC178	logistic	HC	1216.0	stress
HC179	logistic	HC	7811.0	iron_deficiency_anaemia
HC18	logistic	HC	86.0	pemphigoid/pemphigus
HC180	logistic	HC	894.0	thyroid_problem_(not_cancer)
HC181	logistic	HC	337.0	eye_infection
HC182	logistic	HC	1063.0	osteopenia
HC183	logistic	HC	22.0	spinal_abscess
HC184	logistic	HC	1085.0	aortic_aneurysm_rupture
HC185	logistic	HC	6168.0	cellulitis
HC186	logistic	HC	43.0	paget's_disease
HC187	logistic	HC	111.0	chronic_laryngitis
HC188	logistic	HC	14940.0	cholelithiasis/gall_stones
HC189	logistic	HC	72.0	hyperaldosteronism/conn's_syndrome
HC19	logistic	HC	14.0	phaeochromocytoma
HC190	logistic	HC	66.0	scrotal_problem_(not_cancer)
HC191	logistic	HC	205.0	peripheral_nerve_injury
HC192	logistic	HC	50.0	bowel_/_intestinal_perforation
HC193	logistic	HC	1884.0	heart_arrhythmia
HC194	logistic	HC	640.0	liver/biliary/pancreas_problem
HC195	logistic	HC	870.0	ureteric_obstruction/hydronephrosis
HC196	logistic	HC	764.0	labyrinthitis
HC197	logistic	HC	327.0	clotting_disorder/excessive_bleeding
HC198	logistic	HC	699.0	hyperparathyroidism
HC199	logistic	HC	35.0	cervical_problem
HC2	logistic	HC	165.0	myocarditis
HC20	logistic	HC	81.0	cervical_erosion
HC200	logistic	HC	1811.0	fracture_tibia
HC201	logistic	HC	3147.0	ulcerative_colitis
HC202	logistic	HC	1084.0	trapped_nerve/compressed_nerve
HC203	logistic	HC	4968.0	pulmonary_embolism_+/-_dvt
HC204	logistic	HC	1929.0	bursitis
HC205	logistic	HC	5391.0	endometriosis
HC206	logistic	HC	1082.0	parkinsons_disease
HC207	logistic	HC	64.0	soft_tissue_inflammation
HC208	logistic	HC	400.0	parathyroid_gland_problem_(not_cancer)
HC209	logistic	HC	2408.0	gastric/stomach_ulcers
HC21	logistic	HC	195.0	mitral_valve_disease
HC210	logistic	HC	354.0	non-infective_hepatitis
HC211	logistic	HC	79.0	dermatomyositis
HC212	logistic	HC	242.0	oesophageal_disorder
HC213	logistic	HC	179.0	pericardial_problem
HC214	logistic	HC	18.0	empyema
HC215	logistic	HC	107407.0	hypertension
HC216	logistic	HC	1143.0	pneumothorax
HC217	logistic	HC	332.0	neck_problem/injury
HC218	logistic	HC	221.0	motor_neurone_disease
HC219	logistic	HC	19920.0	hypothyroidism/myxoedema
HC22	logistic	HC	9135.0	osteoporosis
HC220	logistic	HC	380.0	interstitial_lung_disease
HC221	logistic	HC	20440.0	diabetes
HC222	logistic	HC	782.0	arterial_embolism
HC223	logistic	HC	1269.0	fracture_pelvis
HC224	logistic	HC	638.0	rubella_/_german_measles
HC225	logistic	HC	12963.0	cholecystitis
HC226	logistic	HC	359.0	herpes_simplex
HC227	logistic	HC	241.0	erectile_dysfunction_/_impotence
HC228	logistic	HC	43.0	infection_of_nervous_system
HC229	logistic	HC	105.0	chronic_skin_ulcers
HC23	logistic	HC	69.0	fibrosing_alveolitis/unspecified_alveolitis
HC230	logistic	HC	320.0	disc_problem
HC231	logistic	HC	2326.0	heart_valve_problem/heart_murmur
HC232	logistic	HC	527.0	abnormal_smear_(cervix)
HC233	logistic	HC	958.0	mania/bipolar_disorder/manic_depression
HC234	logistic	HC	1621.0	allergy_or_anaphylactic_reaction_to_food
HC235	logistic	HC	49.0	other_demyelinating_disease
HC236	logistic	HC	61.0	ovarian_problem
HC237	logistic	HC	5950.0	back_problem
HC238	logistic	HC	81.0	acromegaly
HC239	logistic	HC	4451.0	subdural_haemorrhage/haematoma
HC24	logistic	HC	314.0	mrsa_/_methicillin_resistant_staphylococcus_aureus
HC240	logistic	HC	1498.0	fracture_finger
HC241	logistic	HC	206.0	cranial_nerve_problem/palsy
HC242	logistic	HC	297.0	pericarditis
HC243	logistic	HC	14042.0	inguinal_hernia
HC244	logistic	HC	52.0	carcinoid_syndrome/tumour
HC245	logistic	HC	18.0	bile_duct_disease
HC246	logistic	HC	568.0	schizophrenia
HC247	logistic	HC	308.0	breast_disease_(not_cancer)
HC248	logistic	HC	278.0	allergy_to_house_dust_mite
HC249	logistic	HC	132.0	hepatitis_c
HC25	logistic	HC	19448.0	cataract
HC250	logistic	HC	269.0	acute_infective_polyneuritis/guillain-barre_syndrome
HC251	logistic	HC	241.0	liver_failure/cirrhosis
HC252	logistic	HC	265.0	leg_claudication/_intermittent_claudication
HC253	logistic	HC	1199.0	meniere's_disease
HC254	logistic	HC	1122.0	uterine_polyps
HC255	logistic	HC	1091.0	subarachnoid_haemorrhage
HC256	logistic	HC	476.0	fracture_toe
HC257	logistic	HC	597.0	femoral_hernia
HC258	logistic	HC	37.0	haemophilia
HC259	logistic	HC	1593.0	aortic_stenosis
HC26	logistic	HC	166.0	iritis
HC260	logistic	HC	798.0	fracture_fibula
HC261	logistic	HC	11643.0	eczema/dermatitis
HC262	logistic	HC	4036.0	diverticular_disease/diverticulitis
HC263	logistic	HC	1327.0	nasal/sinus_disorder
HC264	logistic	HC	193.0	hepatitis_a
HC265	logistic	HC	19.0	bowel_/_intestinal_infarction
HC266	logistic	HC	17.0	other_venous/lymphatic_disease
HC267	logistic	HC	725.0	tennis_elbow_/_lateral_epicondylitis
HC268	logistic	HC	215.0	varicose_ulcer
HC269	logistic	HC	43054.0	high_cholesterol
HC27	logistic	HC	127.0	gastrointestinal_bleeding
HC270	logistic	HC	398.0	encephalitis
HC271	logistic	HC	655.0	epicondylitis
HC272	logistic	HC	32.0	stevens_johnson_syndrome
HC273	logistic	HC	64234.0	essential_hypertension
HC274	logistic	HC	3311.0	umbilical_hernia
HC275	logistic	HC	573.0	gastritis/gastric_erosions
HC276	logistic	HC	5863.0	glaucoma
HC277	logistic	HC	357.0	menopausal_symptoms_/_menopause
HC278	logistic	HC	477.0	cerebral_aneurysm
HC279	logistic	HC	51.0	myeloproliferative_disorder
HC28	logistic	HC	1939.0	bronchiectasis
HC280	logistic	HC	567.0	peripheral_neuropathy
HC281	logistic	HC	12665.0	atrial_fibrillation
HC282	logistic	HC	2964.0	whooping_cough_/_pertussis
HC283	logistic	HC	2713.0	cystitis
HC284	logistic	HC	522.0	fracture_nose
HC285	logistic	HC	31606.0	other_joint_disorder
HC286	logistic	HC	174.0	plantar_fascitis
HC287	logistic	HC	588.0	infectious_mononucleosis_/_glandular_fever_/_epstein_barr_virus_(ebv)
HC288	logistic	HC	120.0	alopecia_/_hair_loss
HC289	logistic	HC	155.0	vitiligo
HC29	logistic	HC	7.0	yellow_fever
HC290	logistic	HC	1749.0	fracture_upper_arm_/_humerus_/_elbow
HC291	logistic	HC	511.0	polycystic_ovaries/polycystic_ovarian_syndrome
HC292	logistic	HC	227.0	vasculitis
HC293	logistic	HC	511.0	fracture_patella_/_knee
HC294	logistic	HC	7081.0	renal/kidney_failure
HC295	logistic	HC	8152.0	carpal_tunnel_syndrome
HC296	logistic	HC	367.0	fracture_thumb
HC297	logistic	HC	24.0	dengue_fever
HC298	logistic	HC	4395.0	chronic_sinusitis
HC299	logistic	HC	4657.0	heart_failure/pulmonary_odema
HC3	logistic	HC	514.0	ectopic_pregnancy
HC30	logistic	HC	90.0	aortic_regurgitation_/_incompetence
HC300	logistic	HC	258.0	benign_/_essential_tremor
HC3000	logistic	HC	73261.0	Job_involves_heavy_manual_or_physical_work
HC3001	logistic	HC	73261.0	Job_involves_mainly_walking_or_standing
HC3002	logistic	HC	73261.0	Job_involves_shift_work
HC301	logistic	HC	133.0	asbestosis
HC302	logistic	HC	3247.0	retinal_detachment
HC303	logistic	HC	2094.0	malabsorption/coeliac_disease
HC304	logistic	HC	319.0	burns_N/A
HC305	logistic	HC	145.0	mitral_stenosis
HC306	logistic	HC	348.0	insomnia
HC307	logistic	HC	1095.0	colitis/not_crohns_or_ulcerative_colitis
HC308	logistic	HC	1096.0	hypertrophic_cardiomyopathy_(hcm_/_hocm)
HC309	logistic	HC	150.0	brain_haemorrhage
HC31	logistic	HC	5417.0	uterine_fibroids
HC310	logistic	HC	41260.0	hiatus_hernia
HC311	logistic	HC	2120.0	measles_/_morbillivirus
HC312	logistic	HC	131.0	wegners_granulmatosis
HC313	logistic	HC	240.0	primary_biliary_cirrhosis
HC314	logistic	HC	2438.0	fracture_hand
HC315	logistic	HC	315.0	fracture_neck_/_cervical_fracture
HC316	logistic	HC	10003.0	dyspepsia_/_indigestion
HC317	logistic	HC	365.0	breast_fibroadenoma
HC318	logistic	HC	336.0	vocal_cord_polyp
HC319	logistic	HC	97.0	cushings_syndrome
HC32	logistic	HC	1502.0	other_renal/kidney_problem
HC320	logistic	HC	1640.0	meningitis
HC321	logistic	HC	555.0	sjogren's_syndrome/sicca_syndrome
HC322	logistic	HC	1652.0	crohns_disease
HC323	logistic	HC	4399.0	head_injury
HC324	logistic	HC	195.0	obsessive_compulsive_disorder_(ocd)
HC325	logistic	HC	112.0	chronic/degenerative_neurological_problem
HC326	logistic	HC	12138.0	heart_attack/myocardial_infarction
HC327	logistic	HC	461.0	fracture_metatarsal
HC328	logistic	HC	6278.0	gout
HC329	logistic	HC	132.0	benign_neuroma
HC33	logistic	HC	389.0	spinal_cord_disorder
HC330	logistic	HC	202.0	myasthenia_gravis
HC331	logistic	HC	2608.0	tonsiltis
HC332	logistic	HC	309.0	post-traumatic_stress_disorder
HC333	logistic	HC	98.0	lung_abscess
HC334	logistic	HC	1587.0	fracture_sternum
HC335	logistic	HC	4.0	pancytopenia
HC336	logistic	HC	42.0	iga_nephropathy
HC337	logistic	HC	307.0	type_1_diabetes
HC338	logistic	HC	360.0	giant_cell/temporal_arteritis
HC339	logistic	HC	5881.0	fracture_lower_leg_/_ankle
HC34	logistic	HC	1627.0	pleurisy
HC340	logistic	HC	1112.0	menorrhagia_(unknown_cause)
HC341	logistic	HC	159.0	fracture_face_/_orbit_/_eye_socket
HC342	logistic	HC	594.0	prostate_problem_(not_cancer)
HC343	logistic	HC	47.0	glomerulnephritis
HC344	logistic	HC	346.0	post-natal_depression
HC345	logistic	HC	92.0	neurological_injury/trauma
HC346	logistic	HC	1166.0	fibromyalgia
HC347	logistic	HC	525.0	blistering/desquamating_skin_disorder
HC348	logistic	HC	338.0	bell's_palsy/facial_nerve_palsy
HC349	logistic	HC	42.0	bowen's_disease
HC35	logistic	HC	344.0	sick_sinus_syndrome
HC350	logistic	HC	85.0	hyperprolactinaemia
HC351	logistic	HC	519.0	blepharitis_/_eyelid_infection
HC352	logistic	HC	474.0	systemic_lupus_erythematosis/sle
HC353	logistic	HC	1406.0	other_neurological_problem
HC354	logistic	HC	50.0	kidney_nephropathy
HC355	logistic	HC	965.0	rectal_prolapse
HC356	logistic	HC	307.0	retinal_artery/vein_occlusion
HC357	logistic	HC	3621.0	duodenal_ulcer
HC358	logistic	HC	196.0	optic_neuritis
HC359	logistic	HC	203.0	adrenocortical_insufficiency/addison's_disease
HC36	logistic	HC	12614.0	pneumonia
HC360	logistic	HC	81.0	grave's_disease
HC361	logistic	HC	902.0	anorexia/bulimia/other_eating_disorder
HC362	logistic	HC	8173.0	respiratory_infection
HC363	logistic	HC	591.0	fracture_clavicle_/_collar_bone
HC364	logistic	HC	4082.0	sleep_apnoea
HC365	logistic	HC	27.0	schistosomiasis/bilharzia
HC366	logistic	HC	2491.0	allergy/hypersensitivity/anaphylaxis
HC367	logistic	HC	37.0	other_substance_abuse/dependency
HC368	logistic	HC	85.0	diabetes_insipidus
HC369	logistic	HC	182.0	gestational_diabetes
HC37	logistic	HC	90.0	parathyroid_hyperplasia/adenoma
HC370	logistic	HC	585.0	other_respiratory_problems
HC371	logistic	HC	4987.0	bronchitis
HC372	logistic	HC	52.0	uterine_problem
HC373	logistic	HC	853.0	fracture_rib
HC374	logistic	HC	2812.0	kidney_stone/ureter_stone/bladder_stone
HC375	logistic	HC	477.0	alcohol_dependency
HC376	logistic	HC	29946.0	osteoarthritis
HC377	logistic	HC	83.0	oesophageal_stricture
HC378	logistic	HC	11.0	diabetic_nephropathy
HC379	logistic	HC	709.0	infective/viral_hepatitis
HC38	logistic	HC	5074.0	psoriasis
HC380	logistic	HC	1485.0	fracture_ulna
HC381	logistic	HC	63.0	venous_thromboembolic_disease
HC382	logistic	HC	43626.0	asthma
HC383	logistic	HC	720.0	bph_/_benign_prostatic_hypertrophy
HC384	logistic	HC	423.0	throat_or_larynx_disorder
HC385	logistic	HC	3517.0	peripheral_vascular_disease
HC386	logistic	HC	1564.0	helicobacter_pylori
HC387	logistic	HC	66.0	polymyositis
HC388	logistic	HC	108.0	diabetic_neuropathy/ulcers
HC389	logistic	HC	1125.0	urticaria
HC39	logistic	HC	586.0	lichen_planus
HC390	logistic	HC	447.0	trigemminal_neuralgia
HC391	logistic	HC	228.0	pyloric_stenosis
HC392	logistic	HC	2106.0	pancreatitis
HC393	logistic	HC	66.0	allergy_to_nickel
HC394	logistic	HC	119.0	mitral_regurgitation_/_incompetence
HC395	logistic	HC	2066.0	bladder_problem_(not_cancer)
HC396	logistic	HC	2429.0	fracture_shoulder_/_scapula
HC397	logistic	HC	555.0	scarlet_fever_/_scarlatina
HC398	logistic	HC	1096.0	fracture_wrist_/_colles_fracture
HC399	logistic	HC	71.0	incisional_hernia
HC4	logistic	HC	1061.0	nephritis
HC40	logistic	HC	530.0	nervous_breakdown
HC400	logistic	HC	2828.0	transient_ischaemic_attack_(tia)
HC401	logistic	HC	10153.0	varicose_veins
HC402	logistic	HC	3114.0	spinal_stenosis
HC403	logistic	HC	4.0	varicella_zoster_virus
HC404	logistic	HC	11509.0	urinary_tract_infection/kidney_infection
HC405	logistic	HC	2041.0	vaginal_prolapse/uterine_prolapse
HC406	logistic	HC	2335.0	fracture_neck_of_femur_/_hip
HC407	logistic	HC	39.0	pancreatic_disease
HC408	logistic	HC	343.0	polio_/_poliomyelitis
HC409	logistic	HC	56.0	male_infertility
HC41	logistic	HC	20461.0	depression
HC410	logistic	HC	268.0	cervical_intra-epithelial_neoplasia_(cin)_/_precancerous_cells_cervix
HC411	logistic	HC	64.0	thalassaemia
HC412	logistic	HC	295.0	tendonitis_/_tendinitis_/_tenosynovitis
HC413	logistic	HC	291.0	hereditary/genetic_haematological_disorder
HC414	logistic	HC	1309.0	cardiomyopathy
HC415	logistic	HC	1210.0	aortic_aneurysm
HC416	logistic	HC	31.0	retinitis_pigmentosa
HC417	logistic	HC	420.0	sclerosing_cholangitis
HC418	logistic	HC	4317.0	cervical_spondylosis
HC419	logistic	HC	368.0	otosclerosis
HC42	logistic	HC	1398.0	spontaneous_pneumothorax/recurrent_pneumothorax
HC420	logistic	HC	320.0	psychological/psychiatric_problem
HC421	logistic	HC	478.0	other_abdominal_problem
HC422	logistic	HC	1184.0	ankylosing_spondylitis
HC423	logistic	HC	1819.0	respiratory_failure
HC424	logistic	HC	2012.0	fracture_skull_/_head
HC425	logistic	HC	28.0	adrenal_tumour
HC426	logistic	HC		
HC427	logistic	HC	2831.0	ovarian_cyst_or_cysts
HC428	logistic	HC	280.0	low_platelets/platelet_disorder
HC429	logistic	HC	241.0	hiv/aids
HC43	logistic	HC	14357.0	unclassifiable
HC430	logistic	HC	5587.0	rheumatoid_arthritis
HC431	logistic	HC	1581.0	emphysema
HC432	logistic	HC	487.0	mitral_valve_prolapse
HC433	logistic	HC	516.0	lymphoedema
HC434	logistic	HC	283.0	macular_degeneration
HC435	logistic	HC	3088.0	ear/vestibular_disorder
HC436	logistic	HC	292.0	acne/acne_vulgaris
HC437	logistic	HC	4210.0	epilepsy
HC438	logistic	HC	1138.0	hepatitis
HC439	logistic	HC	8.0	hepatitis_e
HC44	logistic	HC	980.0	bile_duct_obstruction/ascending_cholangitis
HC440	logistic	HC	12186.0	atrial_flutter
HC441	logistic	HC	327.0	hypopituitarism
HC442	logistic	HC	7287.0	chronic_obstructive_airways_disease/copd
HC443	logistic	HC	2974.0	headaches_(not_migraine)
HC444	logistic	HC	174.0	fracture_jaw
HC445	logistic	HC	456.0	oesophageal_varicies
HC45	logistic	HC	1228.0	mumps_/_epidemic_parotitis
HC46	logistic	HC	156.0	renal_failure_requiring_dialysis
HC47	logistic	HC	421.0	malaria
HC48	logistic	HC	366.0	aplastic_anaemia
HC49	logistic	HC	20724.0	hayfever/allergic_rhinitis
HC5	logistic	HC	292.0	myositis/myopathy
HC50	logistic	HC	7.0	chlamydia
HC51	logistic	HC	292.0	paraplegia
HC52	logistic	HC	1186.0	aortic_dissection
HC53	logistic	HC	683.0	spinal_injury
HC54	logistic	HC	662.0	peptic_ulcer
HC55	logistic	HC	3647.0	hyperthyroidism/thyrotoxicosis
HC56	logistic	HC	219.0	monoclonal_gammopathy/not_myeloma
HC57	logistic	HC	4584.0	fracture_radius
HC58	logistic	HC	2354.0	benign_breast_lump
HC59	logistic	HC	388.0	thyroiditis
HC6	logistic	HC	2698.0	eye/eyelid_problem
HC60	logistic	HC	9528.0	oesophagitis/barretts_oesophagus
HC61	logistic	HC	19958.0	haemorrhoids_/_piles
HC62	logistic	HC	1739.0	tuberculosis_(tb)
HC63	logistic	HC	218.0	pituitary_adenoma/tumour
HC64	logistic	HC	11556.0	irritable_bowel_syndrome
HC66	logistic	HC	54.0	myelofibrosis
HC67	logistic	HC	100.0	hepatitis_b
HC68	logistic	HC	588.0	disorder_of_adrenal_gland
HC69	logistic	HC	482.0	polycythaemia_vera
HC7	logistic	HC	8709.0	back_pain
HC70	logistic	HC	38.0	aortic_valve_disease
HC71	logistic	HC	13.0	microscopic_polyarteritis
HC72	logistic	HC	1559.0	chronic_fatigue_syndrome
HC73	logistic	HC	69.0	dermatopolymyositis
HC74	logistic	HC	1185.0	female_infertility
HC75	logistic	HC	15.0	alpha-1_antitrypsin_deficiency
HC76	logistic	HC	1270.0	fracture_foot
HC77	logistic	HC	3397.0	allergy_or_anaphylactic_reaction_to_drug
HC78	logistic	HC	15332.0	arthritis_(nos)
HC79	logistic	HC	5533.0	appendicitis
HC8	logistic	HC	1639.0	gall_bladder_disease
HC80	logistic	HC	16.0	sickle_cell_disease
HC81	logistic	HC	100.0	essential_thrombocytosis
HC82	logistic	HC	1844.0	cerebral_palsy
HC83	logistic	HC	6014.0	fracture_forearm_/_wrist
HC84	logistic	HC	748.0	pulmonary_fibrosis
HC85	logistic	HC	5078.0	enlarged_prostate
HC86	logistic	HC	12180.0	migraine
HC87	logistic	HC	187.0	spina_bifida
HC88	logistic	HC	1148.0	heart/cardiac_problem
HC89	logistic	HC	321.0	food_intolerance
HC9	logistic	HC	270.0	renal_failure_not_requiring_dialysis
HC90	logistic	HC	187.0	myasthenia_gravis
HC91	logistic	HC	954.0	psoriatic_arthropathy
HC92	logistic	HC	100.0	allergy_to_elastoplast
HC93	logistic	HC	672.0	dry_eyes
HC94	logistic	HC	90.0	dementia/alzheimers/cognitive_impairment
HC95	logistic	HC	3783.0	inflammatory_bowel_disease
HC96	logistic	HC	1421.0	polymyalgia_rheumatica
HC97	logistic	HC	58.0	pleural_plaques_(not_known_asbestosis)
HC98	logistic	HC	1570.0	stomach_disorder
HC99	logistic	HC	92.0	neutropenia/lymphopenia
INI1003000	linear	INI	93112.0	Average_acceleration_00:00_00:59
INI1003001	linear	INI	93112.0	Average_acceleration_01:00_01:59
INI1003002	linear	INI	93112.0	Average_acceleration_10:00_10:59
INI1003003	linear	INI	93112.0	Average_acceleration_11:00_11:59
