GBE_ID	BETA	SE	Z_STAT	P	AIC	LOCUS	BY_ADJ_P	u95_BETA	l95_BETA	OR	CI	GBE_NAME
HC648	0.13133479902074302	0.0162035855978043	8.10529238902158	5.26188214913906e-16	31840.487579473	DQB1	1.6303817152662383e-12	0.16309382679243944	0.0995757712490466	1.1403495053056962	1.14 [1.1, 1.18]	TTE_insulin-dependent_diabetes_mellitus
HC645	0.118258294087237	0.0153793869262752	7.68940235746307	1.47823899601817e-14	47807.585287055306	DRB4	4.253125036236383e-11	0.14840189246273638	0.0881146957117376	1.1255347928070392	1.13 [1.09, 1.16]	TTE_thyrotoxicosis_[hyperthyroidism]
HC639	-0.232720711204733	0.0309053236048054	-7.530117276252941	5.06947701308935e-14	15497.5585064773	DRB3	1.361330047815993e-10	-0.17214627693931442	-0.29329514547015156	0.7923748440392795	0.79 [0.75, 0.84]	TTE_sarcoidosis
HC1211	0.30852111429874	0.0415941288282683	7.41741978952236	1.1942396721328995e-13	9017.60327778066	DRB3	3.103496982425408e-10	0.3900456068021459	0.22699662179533414	1.3614102544669489	1.36 [1.25, 1.48]	TTE_seropositive_rheumatoid_arthritis
HC221	0.0531866734436043	0.00718545049742818	7.4019956664708495	1.3415288028294002e-13	162326.465952612	DRB5	3.3773148552606136e-10	0.06727015641856354	0.03910319046864507	1.0546264975052335	1.05 [1.04, 1.07]	diabetes
HC219	0.0541106065452129	0.00737590491833902	7.336131246848838	2.19856429538323e-13	149933.830469276	DPA1	5.367187383759988e-10	0.06856738018515739	0.03965383290526842	1.0556013521169858	1.06 [1.04, 1.07]	hypothyroidism/myxoedema
HC1132	0.116300972453144	0.0163178921712758	7.1272055993768095	1.02427040425622e-12	32685.5785174168	C	2.4269299112913024e-09	0.14828404110884458	0.08431790379744343	1.1233339138238279	1.12 [1.09, 1.16]	TTE_intestinal_malabsorption
HC648	-0.142260057922392	0.0200400932151014	-7.0987722659489	1.25870019721925e-12	31885.334756378707	DRB4	2.89718203150044e-09	-0.10298147522079325	-0.18153864062399072	0.8673956540406522	0.87 [0.83, 0.9]	TTE_insulin-dependent_diabetes_mellitus
HC303	0.154140237822374	0.0219005938613674	7.038176169929218	1.94772338920156e-12	27312.7993315844	DRB4	4.240793080117694e-09	0.1970654017906541	0.11121507385409388	1.1666544843912388	1.17 [1.12, 1.22]	malabsorption/coeliac_disease
HC1212	0.0935140113778792	0.0133633296449102	6.9978077217826415	2.59998564615145e-12	63643.7162647555	DRB5	5.51199583651245e-09	0.11970613748190319	0.0673218852738552	1.098025988090559	1.1 [1.07, 1.13]	TTE_other_rheumatoid_arthritis
HC810	0.18295699120455206	0.0262377595776827	6.97304168303197	3.10160677132515e-12	20311.6000867099	DRB4	6.25084673483967e-09	0.23438299997681014	0.13153098243229397	1.2007627636101739	1.2 [1.14, 1.26]	TTE_multiple_sclerosis
HC430	0.0941717663628699	0.0136204076050978	6.9140196896621005	4.71109742581686e-12	61769.403372385714	DRB5	9.036376600293743e-09	0.12086776526886159	0.06747576745687822	1.0987484577358326	1.1 [1.07, 1.13]	rheumatoid_arthritis
HC303	0.159681199726985	0.0234689710288675	6.80392845219214	1.01804113553151e-11	27313.4185491889	DRB5	1.9072973186983188e-08	0.2056803829435653	0.11368201651040469	1.1731368150334909	1.17 [1.12, 1.23]	malabsorption/coeliac_disease
HC652	0.0601043899732796	0.00887516234496113	6.77220175103657	1.2683709209906999e-11	116949.43444744301	DRB5	2.322282916412059e-08	0.07749970816940341	0.042709071777155785	1.0619473974198401	1.06 [1.04, 1.08]	TTE_unspecified_diabetes_mellitus
cancer1060	0.0508314282186667	0.007532574184342291	6.74821475032112	1.49675306774801e-11	149063.363923376	DRB4	2.679533372015995e-08	0.06559527361997759	0.03606758281735581	1.0521455162893434	1.05 [1.04, 1.07]	non-melanoma_skin_cancer
HC219	-0.048924183818506	0.00727360141877564	-6.72626681085604	1.74071252630401e-11	149942.78979108698	DRB3	3.0485319429986e-08	-0.034667925037705744	-0.06318044259930626	0.9522533231725314	0.95 [0.94, 0.97]	hypothyroidism/myxoedema
HC1159	-0.0712176229130696	0.0107393857600757	-6.631442850095318	3.32421247805376e-11	87379.2874981213	DRB4	5.697868795658122e-08	-0.05016842682332123	-0.09226681900281797	0.931259206732507	0.93 [0.91, 0.95]	TTE_psoriasis
cancer1003	0.046832123182387	0.00714915203035485	6.550724195476708	5.72587235539909e-11	162289.389354744	DRB4	9.609968231483244e-08	0.0608444611618825	0.03281978520289149	1.04794606846089	1.05 [1.03, 1.06]	skin_cancer
HC654	0.164541274241021	0.0256176362452731	6.4229686402617405	1.33642032380801e-10	23448.2816308215	DRB5	2.197194578310883e-07	0.21475184128175628	0.11433070720028572	1.1788522247783502	1.18 [1.12, 1.24]	TTE_other_disorders_of_pancreatic_internal_secretion
HC221	-0.0455454786088196	0.00714935959561431	-6.37056760115394	1.8832990911442e-10	162347.209990146	DRB4	3.0343859556078e-07	-0.03153273380141555	-0.059558223416223646	0.955476147857867	0.96 [0.94, 0.97]	diabetes
HC534	-0.0581516853522247	0.00919026984756745	-6.32752751733582	2.49120556888424e-10	104145.89928	DRB5	3.935146607886194e-07	-0.040138756450992505	-0.0761646142534569	0.9435068204175553	0.94 [0.93, 0.96]	TTE_viral_warts
HC219	-0.0458232937484151	0.007448953131273241	-6.15164210874591	7.66847700561609e-10	149941.539154067	DRB4	1.1656140594299478e-06	-0.03122334561111955	-0.06042324188571065	0.955210738987478	0.96 [0.94, 0.97]	hypothyroidism/myxoedema
HC648	0.106437380512567	0.0174946570292463	6.083993549266619	1.1722532271344099e-09	31898.1689880286	DQA1	1.7488364815837285e-06	0.14072690828988976	0.07214785273524425	1.1123082720909814	1.11 [1.07, 1.15]	TTE_insulin-dependent_diabetes_mellitus
HC1132	0.119324917283525	0.0196457002677668	6.073843928042848	1.24884109426506e-09	32689.8861559783	DRB4	1.8292203269749076e-06	0.15783048980834793	0.08081934475870206	1.1267359548050224	1.13 [1.08, 1.17]	TTE_intestinal_malabsorption
HC1102	0.103293522094171	0.017184422153174	6.01088131875833	1.84517453569111e-09	40979.8480721124	DRB4	2.654428017090831e-06	0.13697498951439205	0.06961205467394996	1.1088168235516027	1.11 [1.07, 1.15]	TTE_ulcerative_colitis
HC881	0.154664589682202	0.0259768102452103	5.95394847258892	2.61749244117715e-09	22548.308175227798	DRB5	3.6994069458876403e-06	0.2055791377628142	0.10375004160158982	1.1672663822507765	1.17 [1.11, 1.23]	TTE_retinal_disorders_in_diseases_classified_elsewhere
HC810	0.122200919447324	0.0211141449638858	5.78763287153419	7.138521666104351e-09	20324.1159141627	DRB1	9.915207687881913e-06	0.16358464357654018	0.08081719531810784	1.1299811141548972	1.13 [1.08, 1.18]	TTE_multiple_sclerosis
HC1211	0.2778007459089989	0.0488208199708559	5.69021057153148	1.26882805389348e-08	9037.48220294056	DRB5	1.7036212520711953e-05	0.3734895530518765	0.18211193876612133	1.3202231111435487	1.32 [1.2, 1.45]	TTE_seropositive_rheumatoid_arthritis
HC303	-0.132970665651744	0.0233995724256281	-5.68261091412546	1.3265382805796398e-08	27326.6652227934	DPB1	1.7519087400171e-05	-0.08710750369751294	-0.17883382760597508	0.8754907736833433	0.88 [0.84, 0.92]	malabsorption/coeliac_disease
HC649	-0.0428209920685647	0.0075597782328137	-5.6643185487502095	1.47609966791757e-08	148047.38338245198	DRB4	1.9179863858314052e-05	-0.028003826732249847	-0.05763815740487955	0.9580828791519601	0.96 [0.94, 0.97]	TTE_non-insulin-dependent_diabetes_mellitus
HC1021	-0.0340419585059256	0.00608005060196209	-5.5989597347989	2.1564187190943898e-08	212215.648426165	DRB4	2.7498778220443013e-05	-0.0221250593260799	-0.04595885768577129	0.9665309495921223	0.97 [0.96, 0.98]	TTE_vasomotor_and_allergic_rhinitis
HC1132	-0.115695895095519	0.0209011065512412	-5.535395688830099	3.10526500547248e-08	32692.6135944546	DPB1	3.848636014629714e-05	-0.07472972625508625	-0.15666206393595175	0.8907460623598525	0.89 [0.85, 0.93]	TTE_intestinal_malabsorption
HC810	0.115686859866959	0.0209195545559898	5.5300823713684295	3.20080453014714e-08	20336.3759444335	B	3.906940026307722e-05	0.156689186796699	0.074684532937219	1.1226442721093626	1.12 [1.08, 1.17]	TTE_multiple_sclerosis
HC1102	0.082843524883182	0.0150093952727371	5.5194445464207185	3.40072886998303e-08	40984.5742491139	DQB1	4.0890152731995206e-05	0.11226193961774672	0.05342511014861728	1.08637180509282	1.09 [1.05, 1.12]	TTE_ulcerative_colitis
cancer1047	0.104499036761773	0.0190231643203619	5.49325206900094	3.94598941386124e-08	25338.9295947872	DRB1	4.541291743493062e-05	0.1417844388296823	0.06721363469386368	1.1101543245226184	1.11 [1.07, 1.15]	lymphoma
HC1212	0.06493045740889099	0.011847356728461	5.48058599880833	4.23919396209326e-08	63657.4611472871	DQA1	4.810015394523968e-05	0.08815127659667454	0.04170963822110743	1.0670848139609341	1.07 [1.04, 1.09]	TTE_other_rheumatoid_arthritis
cancer1060	0.0377106809533565	0.00691235008344561	5.455551367930549	4.88211150414522e-08	149083.211326157	B	5.4625663474265334e-05	0.051258887116909894	0.024162474789803108	1.0384307516180544	1.04 [1.02, 1.05]	non-melanoma_skin_cancer
cancer1047	0.10443376834177197	0.0193573901192221	5.395033509092129	6.85107654515511e-08	25341.3294772004	DQB1	7.458450764910895e-05	0.14237425297544729	0.06649328370809665	1.1100818688684584	1.11 [1.07, 1.15]	lymphoma
HC49	-0.0392244935974256	0.00728040506406352	-5.3876801156353	7.13729358039659e-08	160548.113443668	DRB4	7.565567247908844e-05	-0.024954899671861104	-0.0534940875229901	0.9615348265028861	0.96 [0.95, 0.98]	hayfever/allergic_rhinitis
HC1132	0.110241076611284	0.0204550373730505	5.38943413305746	7.06798783070572e-08	32699.414074020202	DRB5	7.565567247908844e-05	0.15033294986246298	0.07014920336010502	1.1165472114338417	1.12 [1.07, 1.16]	TTE_intestinal_malabsorption
HC1159	-0.0612594063239608	0.011378796218132	-5.38364561150541	7.29921473987465e-08	87392.4702319678	B	7.636721319611648e-05	-0.03895696573642208	-0.08356184691149951	0.9405792159299153	0.94 [0.92, 0.96]	TTE_psoriasis
HC1159	0.0522583833175997	0.00971865918979592	5.37711862274873	7.56873103022029e-08	87395.2209239315	DRB1	7.793884194522114e-05	0.0713069553295997	0.033209811305599704	1.0536479523981266	1.05 [1.03, 1.07]	TTE_psoriasis
HC303	0.1032947780903	0.019216341163991	5.37536137648624	7.64292350113937e-08	27325.073384832598	DQA1	7.793884194522114e-05	0.14095880677172234	0.06563074940887764	1.1088182162221154	1.11 [1.07, 1.15]	malabsorption/coeliac_disease
HC810	0.115141307898915	0.0215235798375098	5.34954263036924	8.817678921820881e-08	20337.7685497165	C	8.769822210438443e-05	0.1573275243804342	0.07295509141739578	1.1220319783515187	1.12 [1.08, 1.17]	TTE_multiple_sclerosis
HC430	0.0645601696400393	0.0120661229913363	5.3505313750236505	8.76963462743644e-08	61783.0496079824	DQA1	8.769822210438443e-05	0.08820977070305845	0.04091056857702015	1.0666897586525852	1.07 [1.04, 1.09]	rheumatoid_arthritis
cancer1047	0.106162105688531	0.0200842012137422	5.28585152870764	1.2512134720599898e-07	25344.9977199383	DQA1	0.00011999790196373144	0.1455271400674657	0.06679707130959629	1.112002123766504	1.11 [1.07, 1.16]	lymphoma
HC652	-0.0458588350552252	0.00878986161043972	-5.21724198715013	1.8160693534329893e-07	116972.51251973401	DRB4	0.0001701200515126789	-0.028630706298763346	-0.06308696381168705	0.955176790152832	0.96 [0.94, 0.97]	TTE_unspecified_diabetes_mellitus
HC1102	0.0799453161270407	0.0155075232521932	5.15526011645567	2.53279092996594e-07	40992.033969342796	DQA1	0.0002292613591635305	0.11034006170133936	0.04955057055274203	1.0832278309622325	1.08 [1.05, 1.12]	TTE_ulcerative_colitis
HC534	0.0477835368385108	0.00937977010562013	5.09431854943653	3.4999785803029296e-07	104164.73699502	DRB3	0.00030647784572789726	0.06616788624552625	0.029399187431495343	1.0489435731058314	1.05 [1.03, 1.07]	TTE_viral_warts
HC1158	0.0289032945848283	0.005679680957095021	5.088894042318089	3.60157766865953e-07	211945.767536317	B	0.0003119833114317473	0.04003546926073454	0.017771119908922058	1.0293250483557361	1.03 [1.02, 1.04]	TTE_other_dermatitis
cancer1003	0.0335792257138617	0.0066016939116931295	5.08645601614233	3.6481627630623396e-07	162309.740516349	B	0.00031265680076661233	0.04651854578078024	0.02063990564694317	1.0341493717030472	1.03 [1.02, 1.05]	skin_cancer
HC1021	-0.0297751429429851	0.0058981024857086796	-5.04825798044903	4.45856820747757e-07	212209.725265347	DRB5	0.0003780883857232127	-0.01821486207099609	-0.04133542381497411	0.9706637696102149	0.97 [0.96, 0.98]	TTE_vasomotor_and_allergic_rhinitis
HC1024	0.0680168348031012	0.0135107266608724	5.03428398119256	4.79638198473851e-07	51330.8660186658	DQA1	0.00040249830627059953	0.0944978590584111	0.04153581054779129	1.0703833280196662	1.07 [1.04, 1.1]	TTE_nasal_polyp
HC1158	0.0300022029323238	0.00598940137262069	5.00921562369699	5.46523155795663e-07	211947.729965895	DPA1	0.00045389809526734734	0.04174142962266035	0.01826297624198725	1.0304568039776183	1.03 [1.02, 1.04]	TTE_other_dermatitis
HC1162	0.142660514784303	0.0286494621150371	4.97951808698793	6.37427959530869e-07	19012.6066629154	DRB5	0.0005239942972261316	0.19881346052977572	0.08650756903883028	1.1533381939317149	1.15 [1.09, 1.22]	TTE_lichen_planus
HC1159	0.0535836413820597	0.0108380255638655	4.944040874078589	7.65196490886117e-07	87398.37312695531	DRB5	0.0006164452306443082	0.07482617148723608	0.032341111276883314	1.0550452335186757	1.06 [1.03, 1.08]	TTE_psoriasis
HC49	-0.0346289709909815	0.0070448319412936	-4.91551413568892	8.854976059387859e-07	160548.529389559	DRB5	0.000706297297788383	-0.020821100386046044	-0.048436841595916956	0.9659637503503243	0.97 [0.95, 0.98]	hayfever/allergic_rhinitis
HC95	0.0704987123346604	0.0144050441162903	4.89402960279277	9.879196877010028e-07	45264.477244898	DQB1	0.0007802665617959762	0.09873259880258939	0.042264825866731415	1.0730431877093027	1.07 [1.04, 1.1]	inflammatory_bowel_disease
HC78	0.0368507522947225	0.007586076092622991	4.85768292392397	1.18767398244421e-06	148111.42495041402	DRB5	0.0009289269123621461	0.05171946143626356	0.021982043153181436	1.037538159092682	1.04 [1.02, 1.05]	arthritis_(nos)
HC95	0.0775102692286588	0.0161609218500671	4.7961539538251605	1.61740990494216e-06	45264.4820266745	DRB4	0.0012528765660114905	0.10918567605479032	0.04583486240252729	1.0805933292615673	1.08 [1.05, 1.12]	inflammatory_bowel_disease
HC1036	-0.0242205544931784	0.0052332911208376395	-4.62816876300619	3.68913336896071e-06	264848.747774491	DRB1	0.0028037547213244198	-0.013963303896336626	-0.03447780509002017	0.9760704093016106	0.98 [0.97, 0.99]	TTE_asthma
HC1242	-0.16932109978418802	0.0371984648295748	-4.55183031235119	5.31812215082763e-06	16761.5549999201	B	0.004004018337343633	-0.09641210871822142	-0.24223009085015462	0.8442377752913282	0.84 [0.78, 0.91]	TTE_ankylosing_spondylitis
cancer1003	0.0303805483103228	0.00670712767488863	4.5295914708865705	5.90978449349869e-06	162302.35922787	DQB1	0.004408282477410186	0.043526518553104514	0.017234578067541084	1.0308467463084185	1.03 [1.02, 1.04]	skin_cancer
HC1024	0.0678196718277354	0.0150350914981035	4.51075883617269	6.459612707351e-06	51334.2630405252	DRB5	0.004774209904101715	0.09728845116401827	0.03835089249145254	1.070172308861198	1.07 [1.04, 1.1]	TTE_nasal_polyp
cancer1060	0.0315743724756401	0.00704715413844785	4.48044300654313	7.44882690226848e-06	149077.101058676	DQB1	0.005455275953169061	0.04538679458699789	0.01776195036428231	1.0320781309470204	1.03 [1.02, 1.05]	non-melanoma_skin_cancer
HC649	0.0335297955494167	0.00752462360393233	4.456009670954732	8.34992668462303e-06	148058.445546861	DRB5	0.006060119813035559	0.04827805781312407	0.018781533285709334	1.0340982547929123	1.03 [1.02, 1.05]	TTE_non-insulin-dependent_diabetes_mellitus
HC1190	0.030744852608116	0.0069079345148522105	4.4506577967718	8.560766319832429e-06	156619.404173301	DRB1	0.006103173638944008	0.04428440425722634	0.01720530095900567	1.0312223566225365	1.03 [1.02, 1.05]	TTE_seborrhoeic_keratosis
HC1103	0.0344078661971297	0.0077304858452383295	4.450931918894018	8.5498446348526e-06	132789.57627732801	DQB1	0.006103173638944008	0.04955961845379682	0.01925611394046257	1.0350066648830494	1.04 [1.02, 1.05]	TTE_other_non-infective_gastro-enteritis_and_colitis
HC477	0.120590615553423	0.0273100570865829	4.41561199125678	1.00724615382944e-05	13314.4433036351	DRB1	0.007084490378383458	0.1741183274431255	0.06706290366372052	1.1281629654455956	1.13 [1.07, 1.19]	TTE_scarlet_fever
HC430	0.0579551824522684	0.0131276527129067	4.41474067906204	1.01131145865592e-05	61797.7628825268	DPA1	0.007084490378383458	0.08368538176956553	0.03222498313497127	1.0596675029471478	1.06 [1.03, 1.09]	rheumatoid_arthritis
HC1212	0.0567955521966396	0.0128866472853001	4.40731797334338	1.04658489849765e-05	63673.8888072311	DPA1	0.007206263350984602	0.0820533808758278	0.031537723517451405	1.0584393926643687	1.06 [1.03, 1.09]	TTE_other_rheumatoid_arthritis
HC1211	0.154511383534841	0.0351839006525171	4.39153648882836	1.1255244180133197e-05	9056.29737927961	DQA1	0.007684125356233395	0.22347182881377453	0.0855509382559075	1.1670875635638187	1.17 [1.09, 1.25]	TTE_seropositive_rheumatoid_arthritis
HC49	-0.0303081724079725	0.007003378341273871	-4.32765030404735	1.5070849694676002e-05	160558.85236902098	DPA1	0.01020263392518178	-0.016581550859075714	-0.04403479395686929	0.9701465150886143	0.97 [0.96, 0.98]	hayfever/allergic_rhinitis
cancer1053	0.0951567482549013	0.0221334208557994	4.2992336735859	1.7138969430571694e-05	20694.088837813702	DQB1	0.011506016308089818	0.1385382531322681	0.05177524337753447	1.099831238242654	1.1 [1.05, 1.15]	non-hodgkins_lymphoma
cancer1053	0.0926865345588032	0.0216063745089003	4.289777284042859	1.7885238484154e-05	20685.0768537446	DRB1	0.011907782466279156	0.13503502859624777	0.05033804052135861	1.0971177728540211	1.1 [1.05, 1.14]	non-hodgkins_lymphoma
HC1211	0.187983136452978	0.0440018905592465	4.272160447285049	1.9358819988344606e-05	9056.95670495606	DPA1	0.012783229263153758	0.27422684194910113	0.10173943095685488	1.2068131640274697	1.21 [1.11, 1.32]	TTE_seropositive_rheumatoid_arthritis
cancer1084	0.0707240554946931	0.0168601918608509	4.19473610255369	2.73189460473565e-05	32870.6510465866	DRB1	0.017606598250465268	0.10377003154196086	0.037678079447425336	1.0732850178984388	1.07 [1.04, 1.11]	respiratory_/_intrathoracic_cancer
HC1158	0.0242053377498313	0.00577744463014902	4.18962695436632	2.7941342294708503e-05	211942.241172306	DQB1	0.017864803666131124	0.03552912922492338	0.012881546274739222	1.0245006649550286	1.02 [1.01, 1.04]	TTE_other_dermatitis
HC1159	0.043521532157884006	0.0105389495145151	4.12958920601551	3.6341197904338896e-05	87405.4055836496	DPB1	0.02305244767358864	0.0641778732063336	0.022865191109434413	1.0444824840316524	1.04 [1.02, 1.07]	TTE_psoriasis
cancer1060	0.0304643452141048	0.0074030782069252595	4.11509163655826	3.87025626231166e-05	149094.637620572	DPA1	0.024357422639298836	0.04497437849967831	0.015954311928531292	1.0309331316933963	1.03 [1.02, 1.05]	non-melanoma_skin_cancer
HC881	-0.0996389059354211	0.0242235527172453	-4.1133068752745805	3.9003134895490603e-05	22568.0663865796	DRB4	0.024357422639298836	-0.052160742609620316	-0.1471170692612219	0.9051642084545107	0.91 [0.86, 0.95]	TTE_retinal_disorders_in_diseases_classified_elsewhere
HC49	-0.0300417821450325	0.0073284143371391	-4.09935639047947	4.14300648534218e-05	160559.619926057	DRB1	0.02567401484290757	-0.015678090044239864	-0.04440547424582514	0.970404987099544	0.97 [0.96, 0.98]	hayfever/allergic_rhinitis
HC645	-0.0594287967485462	0.0145646017872837	-4.08035850320559	4.4966294990120895e-05	47855.113695844295	DPA1	0.027652686923266296	-0.03088217724547015	-0.08797541625162225	0.9423026262134352	0.94 [0.92, 0.97]	TTE_thyrotoxicosis_[hyperthyroidism]
HC307	0.106004607643859	0.0261427158875569	4.054842966576181	5.0167993711873715e-05	15568.957829033101	DQB1	0.030160842036585638	0.15724433078347053	0.05476488450424747	1.1118269993975747	1.11 [1.06, 1.17]	colitis/not_crohns_or_ulcerative_colitis
HC307	0.10888740370291	0.0268508695726344	4.0552654508398085	5.00774000798669e-05	15566.7152226829	DQA1	0.030160842036585638	0.16151510806527342	0.05625969934054657	1.1150367942588528	1.12 [1.06, 1.18]	colitis/not_crohns_or_ulcerative_colitis
HC96	0.100727335153128	0.0248258422837449	4.057358215760529	4.963092869922221e-05	21909.1480585005	DRB5	0.030160842036585638	0.149385986029268	0.05206868427698799	1.1059750401322488	1.11 [1.05, 1.16]	polymyalgia_rheumatica
cancer1003	0.028443623464216	0.00702076410537149	4.05135723652276	5.09213922130942e-05	162318.337562397	DPA1	0.030387014114001482	0.04220432111074412	0.01468292581768788	1.0288520060875483	1.03 [1.01, 1.04]	skin_cancer
HC1164	0.0451979963071323	0.0112006339042655	4.0353069918587	5.45309507170095e-05	70261.1531380633	DRB1	0.03183358205923021	0.06715123875949268	0.023244753854771923	1.046234990066963	1.05 [1.02, 1.07]	TTE_urticaria
HC1242	-0.13526997172167302	0.0335723968466412	-4.02920209538767	5.5966489761121706e-05	16767.7843399995	C	0.032436560436477316	-0.06946807390225626	-0.20107186954108977	0.8734800649365122	0.87 [0.82, 0.93]	TTE_ankylosing_spondylitis
HC1158	0.0230157386679572	0.00574128184168713	4.0088153312455805	6.10241130343952e-05	211957.003784986	C	0.03511518552274953	0.03426865107766398	0.011762826258250427	1.0232826445262502	1.02 [1.01, 1.03]	TTE_other_dermatitis
HC219	0.0280371778273119	0.00701498289104208	3.99675640878818	6.42163197030732e-05	149973.26029166	A	0.03669000970142251	0.04178654429375438	0.014287811360869424	1.0284339186493172	1.03 [1.01, 1.04]	hypothyroidism/myxoedema
HC95	0.0592341318553236	0.0148671155992249	3.98423833190694	6.76969050596241e-05	45271.097828325095	DQA1	0.038406258171969895	0.0883736784298044	0.030094585280842794	1.0610236310922672	1.06 [1.03, 1.09]	inflammatory_bowel_disease
HC700	0.0181114204329368	0.00455570842547318	3.97554424942278	7.021848569084511e-05	314610.352987695	DRB5	0.039558238909823386	0.027040608946864234	0.00918223191900937	1.0182764268696567	1.02 [1.01, 1.03]	TTE_disorders_of_lipoprotein_metabolism_and_other_lipidaemias
