#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	SOURCE	DATE	PATH
HC134	bone_disorder	NA	NA	NA	24983	2342	1566	113	15	7	36	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC134.phe
cancer1085	bone_metastases_/_bony_secondaries	NA	NA	NA	24983	3603	2468	146	32	5	29	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1085.phe
HC1	bowel_/_intestinal_obstruction	NA	NA	NA	24983	6569	4509	309	78	7	70	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1.phe
HC383	bph_/_benign_prostatic_hypertrophy	NA	NA	NA	24983	1217	822	44	10	0	19	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC383.phe
cancer1032	brain_cancer_/_primary_malignant_brain_tumour	NA	NA	NA	24983	975	662	55	6	4	11	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1032.phe
cancer1002	breast_cancer	NA	NA	NA	24983	18608	12366	954	126	37	161	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1002.phe
HC139	breast_cysts	NA	NA	NA	24983	2170	1515	100	22	2	12	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC139.phe
HC1038	TTE_bronchiectasis	NA	NA	NA	24983	4102	2784	188	27	7	44	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1038.phe
HC1031	TTE_bronchitis,_not_specified_as_acute_or_chronic	NA	NA	NA	24983	9301	6349	447	54	5	81	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1031.phe
HC204	bursitis	NA	NA	NA	24983	3685	2477	168	41	2	44	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC204.phe
HC1304	TTE_calculus_of_kidney_and_ureter	NA	NA	NA	24983	7566	5100	384	56	19	146	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1304.phe
HC1305	TTE_calculus_of_lower_urinary_tract	NA	NA	NA	24983	1189	810	77	11	1	17	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1305.phe
cancer1004	cancer_of_lip/mouth/pharynx/oral_cavity	NA	NA	NA	24983	1057	710	72	5	4	17	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1004.phe
HC555	TTE_candidiasis	NA	NA	NA	24983	9690	6541	444	103	13	115	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC555.phe
HC962	TTE_cardiac_arrest	NA	NA	NA	24983	1819	1178	71	20	2	51	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC962.phe
HC414	cardiomyopathy	NA	NA	NA	24983	2565	1686	137	49	2	53	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC414.phe
HC295	carpal_tunnel_syndrome	NA	NA	NA	24983	13731	9105	550	183	28	199	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC295.phe
HC25	cataract	NA	NA	NA	24983	39076	25584	1738	637	104	1169	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC25.phe
HC1139	TTE_cellulitis	NA	NA	NA	24983	28679	19538	1257	167	18	377	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1139.phe
HC278	cerebral_aneurysm	NA	NA	NA	24983	819	529	46	6	1	7	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC278.phe
HC972	TTE_cerebral_infarction	NA	NA	NA	24983	5771	3912	253	85	5	82	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC972.phe
HC82	cerebral_palsy	NA	NA	NA	24983	3552	2311	150	66	5	68	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC82.phe
cancer1041	cervical_cancer	NA	NA	NA	24983	4330	2959	231	28	4	14	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1041.phe
HC1247	TTE_cervical_disk_disorders	NA	NA	NA	24983	3797	2560	133	35	6	51	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1247.phe
HC418	cervical_spondylosis	NA	NA	NA	24983	7445	5010	273	69	6	89	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC418.phe
HC144	chickenpox	NA	NA	NA	24983	9864	7051	355	58	8	70	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC144.phe
HC225	cholecystitis	NA	NA	NA	24983	22074	14990	926	128	30	259	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC225.phe
HC1125	TTE_cholelithiasis	NA	NA	NA	24983	27618	18814	1175	158	43	317	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1125.phe
HC1026	TTE_chronic_diseases_of_tonsils_and_adenoids	NA	NA	NA	24983	1760	1114	95	34	6	39	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1026.phe
HC72	chronic_fatigue_syndrome	NA	NA	NA	24983	2269	1598	122	7	0	7	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC72.phe
HC942	TTE_chronic_ischaemic_heart_disease	NA	NA	NA	24983	38230	25378	1680	283	31	1098	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC942.phe
cancer1055	chronic_lymphocytic	NA	NA	NA	24983	1211	842	70	8	0	10	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1055.phe
cancer1056	chronic_myeloid	NA	NA	NA	24983	752	533	35	5	0	8	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1056.phe
HC1288	TTE_chronic_nephritic_syndrome	NA	NA	NA	24983	1248	802	37	22	2	36	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1288.phe
HC1582	AD_chronic_obstructive_pulmonary_disease	NA	NA	NA	24983	19025	12780	1002	89	10	187	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1582.phe
HC1302	TTE_chronic_renal_failure	NA	NA	NA	24983	17999	11928	610	323	17	417	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1302.phe
HC1022	TTE_chronic_rhinitis,_nasopharyngitis_and_pharyngitis	NA	NA	NA	24983	6510	4471	293	56	13	97	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1022.phe
HC1023	TTE_chronic_sinusitis	NA	NA	NA	24983	12681	8613	593	97	28	175	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1023.phe
HC307	colitis/not_crohns_or_ulcerative_colitis	NA	NA	NA	24983	1681	1171	70	8	0	32	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC307.phe
cancer1022	colon_cancer/sigmoid_cancer	NA	NA	NA	24983	5538	3785	266	48	8	33	NA	2020-03-31	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/cancer/v2_2020/phe/cancer1022.phe
HC967	TTE_complications_and_ill-defined_descriptions_of_heart_disease	NA	NA	NA	24983	9133	6069	420	137	7	171	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC967.phe
HC918	TTE_conductive_and_sensorineural_hearing_loss	NA	NA	NA	24983	7304	5064	299	33	10	133	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC918.phe
HC1542	TTE_congenital_deformities_of_feet	NA	NA	NA	24983	1073	755	44	11	1	8	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1542.phe
HC1505	TTE_congenital_malformations_of_cardiac_septa	NA	NA	NA	24983	1069	751	36	9	1	16	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1505.phe
HC860	TTE_conjunctivitis	NA	NA	NA	24983	23583	15951	1071	218	51	471	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC860.phe
HC136	connective_tissue_disorder	NA	NA	NA	24983	4947	3222	238	83	10	77	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC136.phe
HC118	constipation	NA	NA	NA	24983	17336	11264	873	283	21	295	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC118.phe
HC1192	TTE_corns_and_callosities	NA	NA	NA	24983	3756	2415	192	44	5	136	cdeboever/justesen	2020-05-15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/highconfidenceqc/v2_2020/phe/HC1192.phe
